value,column_name,cleaned_text,tokenized_text,POS tagged,Lemma
"The food was delivered with a smile and a positive attitude, which made our experience even better.",Positive,food delivered smile positive attitude made experience even better,"['food', 'delivered', 'smile', 'positive', 'attitude', 'made', 'experience', 'even', 'better']","[('food', 'n'), ('delivered', 'v'), ('smile', 'r'), ('positive', 'a'), ('attitude', 'n'), ('made', 'v'), ('experience', 'n'), ('even', 'r'), ('better', 'r')]",  food deliver smile positive attitude make experience even well
"The restaurant had a great reputation for supporting local farmers and businesses, which we appreciated.",Positive,restaurant great reputation supporting local farmers businesses appreciated,"['restaurant', 'great', 'reputation', 'supporting', 'local', 'farmers', 'businesses', 'appreciated']","[('restaurant', 'n'), ('great', 'a'), ('reputation', 'n'), ('supporting', 'v'), ('local', 'a'), ('farmers', 'n'), ('businesses', 'n'), ('appreciated', 'v')]",  restaurant great reputation support local farmer business appreciate
The restaurant had a great selection of dishes for different occasions and preferences.,Positive,restaurant great selection dishes different occasions preferences,"['restaurant', 'great', 'selection', 'dishes', 'different', 'occasions', 'preferences']","[('restaurant', 'n'), ('great', 'a'), ('selection', 'n'), ('dishes', 'n'), ('different', 'a'), ('occasions', 'n'), ('preferences', 'n')]",  restaurant great selection dish different occasion preference
"The online ordering process allowed us to track our rewards and loyalty points, which was a nice feature.",Positive,online ordering process allowed us track rewards loyalty points nice feature,"['online', 'ordering', 'process', 'allowed', 'us', 'track', 'rewards', 'loyalty', 'points', 'nice', 'feature']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('allowed', 'v'), ('us', None), ('track', 'v'), ('rewards', 'n'), ('loyalty', 'n'), ('points', 'n'), ('nice', 'a'), ('feature', 'n')]",  online order process allow us track reward loyalty point nice feature
The food was delivered promptly and was still hot when it arrived.,Positive,food delivered promptly still hot arrived,"['food', 'delivered', 'promptly', 'still', 'hot', 'arrived']","[('food', 'n'), ('delivered', 'v'), ('promptly', 'r'), ('still', 'r'), ('hot', 'a'), ('arrived', 'v')]",  food deliver promptly still hot arrive
The restaurant had a great variety of menu options to choose from.,Positive,restaurant great variety menu options choose,"['restaurant', 'great', 'variety', 'menu', 'options', 'choose']","[('restaurant', 'n'), ('great', 'a'), ('variety', 'n'), ('menu', 'n'), ('options', 'n'), ('choose', 'v')]",  restaurant great variety menu option choose
The food was delicious and exceeded our expectations.,Positive,food delicious exceeded expectations,"['food', 'delicious', 'exceeded', 'expectations']","[('food', 'n'), ('delicious', 'a'), ('exceeded', 'v'), ('expectations', 'n')]",  food delicious exceed expectation
The restaurant had excellent customer service and was very accommodating to our needs.,Positive,restaurant excellent customer service accommodating needs,"['restaurant', 'excellent', 'customer', 'service', 'accommodating', 'needs']","[('restaurant', 'n'), ('excellent', 'a'), ('customer', 'n'), ('service', 'n'), ('accommodating', 'v'), ('needs', 'n')]",  restaurant excellent customer service accommodate need
The online ordering process was straightforward and easy to navigate.,Positive,online ordering process straightforward easy navigate,"['online', 'ordering', 'process', 'straightforward', 'easy', 'navigate']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('straightforward', 'n'), ('easy', 'a'), ('navigate', 'n')]",  online order process straightforward easy navigate
The food was well-packaged and arrived in perfect condition.,Positive,food well packaged arrived perfect condition,"['food', 'well', 'packaged', 'arrived', 'perfect', 'condition']","[('food', 'n'), ('well', 'r'), ('packaged', 'v'), ('arrived', 'v'), ('perfect', 'a'), ('condition', 'n')]",  food well package arrive perfect condition
The restaurant had a great selection of healthy options that were still delicious.,Positive,restaurant great selection healthy options still delicious,"['restaurant', 'great', 'selection', 'healthy', 'options', 'still', 'delicious']","[('restaurant', 'n'), ('great', 'a'), ('selection', 'n'), ('healthy', 'a'), ('options', 'n'), ('still', 'r'), ('delicious', 'a')]",  restaurant great selection healthy option still delicious
The food was seasoned perfectly and was not too salty or too spicy.,Positive,food seasoned perfectly salty spicy,"['food', 'seasoned', 'perfectly', 'salty', 'spicy']","[('food', 'n'), ('seasoned', 'v'), ('perfectly', 'r'), ('salty', 'a'), ('spicy', 'n')]",  food season perfectly salty spicy
The restaurant had great communication with us throughout the ordering and delivery process.,Positive,restaurant great communication us throughout ordering delivery process,"['restaurant', 'great', 'communication', 'us', 'throughout', 'ordering', 'delivery', 'process']","[('restaurant', 'n'), ('great', 'a'), ('communication', 'n'), ('us', None), ('throughout', None), ('ordering', 'v'), ('delivery', 'n'), ('process', 'n')]",  restaurant great communication us throughout order delivery process
"The online ordering process was very user-friendly, and we had no issues placing our order.",Positive,online ordering process user friendly issues placing order,"['online', 'ordering', 'process', 'user', 'friendly', 'issues', 'placing', 'order']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('user', 'r'), ('friendly', 'a'), ('issues', 'n'), ('placing', 'v'), ('order', 'n')]",  online order process user friendly issue place order
"The food was delivered in a timely manner, and we didn't have to wait long for our meal.",Positive,food delivered timely manner wait long meal,"['food', 'delivered', 'timely', 'manner', 'wait', 'long', 'meal']","[('food', 'n'), ('delivered', 'v'), ('timely', 'a'), ('manner', 'n'), ('wait', 'v'), ('long', 'r'), ('meal', 'n')]",  food deliver timely manner wait long meal
"The restaurant had a great atmosphere, and the staff were friendly and welcoming.",Positive,restaurant great atmosphere staff friendly welcoming,"['restaurant', 'great', 'atmosphere', 'staff', 'friendly', 'welcoming']","[('restaurant', 'n'), ('great', 'a'), ('atmosphere', 'a'), ('staff', 'n'), ('friendly', 'r'), ('welcoming', 'v')]",  restaurant great atmosphere staff friendly welcome
The food was made with fresh ingredients and tasted incredibly flavorful.,Positive,food made fresh ingredients tasted incredibly flavorful,"['food', 'made', 'fresh', 'ingredients', 'tasted', 'incredibly', 'flavorful']","[('food', 'n'), ('made', 'v'), ('fresh', 'a'), ('ingredients', 'n'), ('tasted', 'v'), ('incredibly', 'r'), ('flavorful', 'a')]",  food make fresh ingredient taste incredibly flavorful
The restaurant had a great reputation in the community and lived up to our expectations.,Positive,restaurant great reputation community lived expectations,"['restaurant', 'great', 'reputation', 'community', 'lived', 'expectations']","[('restaurant', 'n'), ('great', 'a'), ('reputation', 'n'), ('community', 'n'), ('lived', 'v'), ('expectations', 'n')]",  restaurant great reputation community live expectation
The online ordering process allowed us to customize our order to our liking.,Positive,online ordering process allowed us customize order liking,"['online', 'ordering', 'process', 'allowed', 'us', 'customize', 'order', 'liking']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('allowed', 'v'), ('us', None), ('customize', 'v'), ('order', 'n'), ('liking', 'v')]",  online order process allow us customize order like
The food was the perfect temperature and was not overcooked or undercooked.,Positive,food perfect temperature overcooked undercooked,"['food', 'perfect', 'temperature', 'overcooked', 'undercooked']","[('food', 'n'), ('perfect', 'a'), ('temperature', 'n'), ('overcooked', 'v'), ('undercooked', 'a')]",  food perfect temperature overcook undercooked
The restaurant had a great selection of beverages that paired well with our meal.,Positive,restaurant great selection beverages paired well meal,"['restaurant', 'great', 'selection', 'beverages', 'paired', 'well', 'meal']","[('restaurant', 'n'), ('great', 'a'), ('selection', 'n'), ('beverages', 'n'), ('paired', 'v'), ('well', 'r'), ('meal', 'v')]",  restaurant great selection beverage pair well meal
The food was reasonably priced and was a great value for the quality.,Positive,food reasonably priced great value quality,"['food', 'reasonably', 'priced', 'great', 'value', 'quality']","[('food', 'n'), ('reasonably', 'r'), ('priced', 'v'), ('great', 'a'), ('value', 'n'), ('quality', 'n')]",  food reasonably price great value quality
The restaurant had a great loyalty program that rewarded us for our repeat business.,Positive,restaurant great loyalty program rewarded us repeat business,"['restaurant', 'great', 'loyalty', 'program', 'rewarded', 'us', 'repeat', 'business']","[('restaurant', 'n'), ('great', 'a'), ('loyalty', 'n'), ('program', 'n'), ('rewarded', 'v'), ('us', None), ('repeat', 'n'), ('business', 'n')]",  restaurant great loyalty program reward us repeat business
The online ordering process allowed us to easily place a group order for our family and friends.,Positive,online ordering process allowed us easily place group order family friends,"['online', 'ordering', 'process', 'allowed', 'us', 'easily', 'place', 'group', 'order', 'family', 'friends']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('allowed', 'v'), ('us', None), ('easily', 'r'), ('place', 'n'), ('group', 'n'), ('order', 'n'), ('family', 'n'), ('friends', 'n')]",  online order process allow us easily place group order family friend
"The food was cooked to perfection, and we could taste the care that went into preparing it.",Positive,food cooked perfection could taste care went preparing,"['food', 'cooked', 'perfection', 'could', 'taste', 'care', 'went', 'preparing']","[('food', 'n'), ('cooked', 'v'), ('perfection', 'n'), ('could', None), ('taste', 'v'), ('care', 'v'), ('went', 'v'), ('preparing', 'v')]",  food cook perfection could taste care go prepare
"The restaurant had a great reputation for their signature dishes, and we were not disappointed.",Positive,restaurant great reputation signature dishes disappointed,"['restaurant', 'great', 'reputation', 'signature', 'dishes', 'disappointed']","[('restaurant', 'n'), ('great', 'a'), ('reputation', 'n'), ('signature', 'n'), ('dishes', 'n'), ('disappointed', 'v')]",  restaurant great reputation signature dish disappoint
"The food was delivered with all the necessary utensils and condiments, which was very thoughtful.",Positive,food delivered necessary utensils condiments thoughtful,"['food', 'delivered', 'necessary', 'utensils', 'condiments', 'thoughtful']","[('food', 'n'), ('delivered', 'v'), ('necessary', 'a'), ('utensils', 'a'), ('condiments', 'n'), ('thoughtful', 'a')]",  food deliver necessary utensils condiment thoughtful
The restaurant had a great selection of sides that complemented our main dish perfectly.,Positive,restaurant great selection sides complemented main dish perfectly,"['restaurant', 'great', 'selection', 'sides', 'complemented', 'main', 'dish', 'perfectly']","[('restaurant', 'n'), ('great', 'a'), ('selection', 'n'), ('sides', 'n'), ('complemented', 'v'), ('main', 'a'), ('dish', 'n'), ('perfectly', 'r')]",  restaurant great selection side complement main dish perfectly
The online ordering process allowed us to easily track our order status and delivery time.,Positive,online ordering process allowed us easily track order status delivery time,"['online', 'ordering', 'process', 'allowed', 'us', 'easily', 'track', 'order', 'status', 'delivery', 'time']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('allowed', 'v'), ('us', None), ('easily', 'r'), ('track', 'v'), ('order', 'n'), ('status', 'n'), ('delivery', 'n'), ('time', 'n')]",  online order process allow us easily track order status delivery time
The food was beautifully presented and looked as good as it tasted.,Positive,food beautifully presented looked good tasted,"['food', 'beautifully', 'presented', 'looked', 'good', 'tasted']","[('food', 'n'), ('beautifully', 'r'), ('presented', 'v'), ('looked', 'v'), ('good', 'a'), ('tasted', 'v')]",  food beautifully present look good taste
"The restaurant had a great reputation for their customer service, and they did not disappoint.",Positive,restaurant great reputation customer service disappoint,"['restaurant', 'great', 'reputation', 'customer', 'service', 'disappoint']","[('restaurant', 'n'), ('great', 'a'), ('reputation', 'n'), ('customer', 'n'), ('service', 'n'), ('disappoint', 'n')]",  restaurant great reputation customer service disappoint
"The food was perfectly portioned, and we did not feel too full or too hungry after eating.",Positive,food perfectly portioned feel full hungry eating,"['food', 'perfectly', 'portioned', 'feel', 'full', 'hungry', 'eating']","[('food', 'n'), ('perfectly', 'r'), ('portioned', 'v'), ('feel', None), ('full', 'a'), ('hungry', 'n'), ('eating', 'v')]",  food perfectly portion feel full hungry eat
The restaurant had a great selection of gluten-free options that were still delicious.,Positive,restaurant great selection gluten free options still delicious,"['restaurant', 'great', 'selection', 'gluten', 'free', 'options', 'still', 'delicious']","[('restaurant', 'n'), ('great', 'a'), ('selection', 'n'), ('gluten', 'n'), ('free', 'a'), ('options', 'n'), ('still', 'r'), ('delicious', 'a')]",  restaurant great selection gluten free option still delicious
The online ordering process allowed us to easily make changes to our order before it was submitted.,Positive,online ordering process allowed us easily make changes order submitted,"['online', 'ordering', 'process', 'allowed', 'us', 'easily', 'make', 'changes', 'order', 'submitted']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('allowed', 'v'), ('us', None), ('easily', 'r'), ('make', 'v'), ('changes', 'n'), ('order', 'n'), ('submitted', 'v')]",  online order process allow us easily make change order submit
"The food was delivered with a smile and a positive attitude, which made our day.",Positive,food delivered smile positive attitude made day,"['food', 'delivered', 'smile', 'positive', 'attitude', 'made', 'day']","[('food', 'n'), ('delivered', 'v'), ('smile', 'r'), ('positive', 'a'), ('attitude', 'n'), ('made', 'v'), ('day', 'n')]",  food deliver smile positive attitude make day
The restaurant had a great variety of ethnic cuisines to choose from.,Positive,restaurant great variety ethnic cuisines choose,"['restaurant', 'great', 'variety', 'ethnic', 'cuisines', 'choose']","[('restaurant', 'n'), ('great', 'a'), ('variety', 'n'), ('ethnic', 'a'), ('cuisines', 'n'), ('choose', 'v')]",  restaurant great variety ethnic cuisine choose
The food was made with high-quality ingredients and was worth every penny.,Positive,food made high quality ingredients worth every penny,"['food', 'made', 'high', 'quality', 'ingredients', 'worth', 'every', 'penny']","[('food', 'n'), ('made', 'v'), ('high', 'a'), ('quality', 'n'), ('ingredients', 'n'), ('worth', 'a'), ('every', None), ('penny', 'n')]",  food make high quality ingredient worth every penny
"The restaurant had a great reputation for their delivery service, and they lived up to it.",Positive,restaurant great reputation delivery service lived,"['restaurant', 'great', 'reputation', 'delivery', 'service', 'lived']","[('restaurant', 'n'), ('great', 'a'), ('reputation', 'n'), ('delivery', 'n'), ('service', 'n'), ('lived', 'v')]",  restaurant great reputation delivery service live
The online ordering process allowed us to easily see the nutritional information for each dish.,Positive,online ordering process allowed us easily see nutritional information dish,"['online', 'ordering', 'process', 'allowed', 'us', 'easily', 'see', 'nutritional', 'information', 'dish']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('allowed', 'v'), ('us', None), ('easily', 'r'), ('see', 'v'), ('nutritional', 'a'), ('information', 'n'), ('dish', 'n')]",  online order process allow us easily see nutritional information dish
The food was seasoned perfectly and was not too greasy or heavy.,Positive,food seasoned perfectly greasy heavy,"['food', 'seasoned', 'perfectly', 'greasy', 'heavy']","[('food', 'n'), ('seasoned', 'v'), ('perfectly', 'r'), ('greasy', 'a'), ('heavy', 'a')]",  food season perfectly greasy heavy
The restaurant had a great selection of vegetarian options that were still filling and satisfying.,Positive,restaurant great selection vegetarian options still filling satisfying,"['restaurant', 'great', 'selection', 'vegetarian', 'options', 'still', 'filling', 'satisfying']","[('restaurant', 'n'), ('great', 'a'), ('selection', 'n'), ('vegetarian', 'n'), ('options', 'n'), ('still', 'r'), ('filling', 'v'), ('satisfying', 'v')]",  restaurant great selection vegetarian option still fill satisfy
"The food was delivered to us exactly as we had requested it, with no errors.",Positive,food delivered us exactly requested errors,"['food', 'delivered', 'us', 'exactly', 'requested', 'errors']","[('food', 'n'), ('delivered', 'v'), ('us', None), ('exactly', 'r'), ('requested', 'v'), ('errors', 'n')]",  food deliver us exactly request error
The restaurant had a great reputation for their cleanliness and hygiene practices.,Positive,restaurant great reputation cleanliness hygiene practices,"['restaurant', 'great', 'reputation', 'cleanliness', 'hygiene', 'practices']","[('restaurant', 'n'), ('great', 'a'), ('reputation', 'n'), ('cleanliness', 'n'), ('hygiene', 'n'), ('practices', 'n')]",  restaurant great reputation cleanliness hygiene practice
The online ordering process allowed us to easily leave special instructions for our order.,Positive,online ordering process allowed us easily leave special instructions order,"['online', 'ordering', 'process', 'allowed', 'us', 'easily', 'leave', 'special', 'instructions', 'order']","[('online', 'a'), ('ordering', 'v'), ('process', 'n'), ('allowed', 'v'), ('us', None), ('easily', 'r'), ('leave', 'v'), ('special', 'a'), ('instructions', 'n'), ('order', 'n')]",  online order process allow us easily leave special instruction order
The food arrived cold and unappetizing.,Negative,food arrived cold unappetizing,"['food', 'arrived', 'cold', 'unappetizing']","[('food', 'n'), ('arrived', 'v'), ('cold', 'a'), ('unappetizing', 'n')]",  food arrive cold unappetizing
The restaurant got our order completely wrong.,Negative,restaurant got order completely wrong,"['restaurant', 'got', 'order', 'completely', 'wrong']","[('restaurant', 'n'), ('got', 'v'), ('order', 'n'), ('completely', 'r'), ('wrong', 'a')]",  restaurant get order completely wrong
The food was undercooked and not safe to eat.,Negative,food undercooked safe eat,"['food', 'undercooked', 'safe', 'eat']","[('food', 'n'), ('undercooked', 'a'), ('safe', 'a'), ('eat', 'n')]",  food undercooked safe eat
The restaurant was out of the dish we wanted to order.,Negative,restaurant dish wanted order,"['restaurant', 'dish', 'wanted', 'order']","[('restaurant', 'a'), ('dish', 'n'), ('wanted', 'v'), ('order', 'n')]",  restaurant dish want order
The food was overcooked and burnt.,Negative,food overcooked burnt,"['food', 'overcooked', 'burnt']","[('food', 'n'), ('overcooked', 'v'), ('burnt', 'n')]",  food overcook burnt
The restaurant took too long to prepare our food.,Negative,restaurant took long prepare food,"['restaurant', 'took', 'long', 'prepare', 'food']","[('restaurant', 'n'), ('took', 'v'), ('long', 'r'), ('prepare', 'a'), ('food', 'n')]",  restaurant take long prepare food
The food was bland and lacked flavor.,Negative,food bland lacked flavor,"['food', 'bland', 'lacked', 'flavor']","[('food', 'n'), ('bland', 'n'), ('lacked', 'v'), ('flavor', 'n')]",  food bland lack flavor
The restaurant charged us more than the advertised prices.,Negative,restaurant charged us advertised prices,"['restaurant', 'charged', 'us', 'advertised', 'prices']","[('restaurant', 'n'), ('charged', 'v'), ('us', None), ('advertised', 'v'), ('prices', 'n')]",  restaurant charge us advertise price
The food was delivered late and we had to wait a long time.,Negative,food delivered late wait long time,"['food', 'delivered', 'late', 'wait', 'long', 'time']","[('food', 'n'), ('delivered', 'v'), ('late', 'a'), ('wait', 'n'), ('long', 'a'), ('time', 'n')]",  food deliver late wait long time
The restaurant forgot to include items in our order.,Negative,restaurant forgot include items order,"['restaurant', 'forgot', 'include', 'items', 'order']","[('restaurant', 'n'), ('forgot', 'v'), ('include', 'a'), ('items', 'n'), ('order', 'n')]",  restaurant forget include item order
The food was too salty and not enjoyable to eat.,Negative,food salty enjoyable eat,"['food', 'salty', 'enjoyable', 'eat']","[('food', 'n'), ('salty', 'n'), ('enjoyable', 'a'), ('eat', 'n')]",  food salty enjoyable eat
The restaurant had poor communication about our order status.,Negative,restaurant poor communication order status,"['restaurant', 'poor', 'communication', 'order', 'status']","[('restaurant', 'n'), ('poor', 'a'), ('communication', 'n'), ('order', 'n'), ('status', 'n')]",  restaurant poor communication order status
The food was too spicy and not what we were expecting.,Negative,food spicy expecting,"['food', 'spicy', 'expecting']","[('food', 'n'), ('spicy', 'n'), ('expecting', 'v')]",  food spicy expect
The restaurant had poor hygiene practices and we did not feel comfortable eating there.,Negative,restaurant poor hygiene practices feel comfortable eating,"['restaurant', 'poor', 'hygiene', 'practices', 'feel', 'comfortable', 'eating']","[('restaurant', 'n'), ('poor', 'a'), ('hygiene', 'n'), ('practices', 'n'), ('feel', 'v'), ('comfortable', 'a'), ('eating', 'n')]",  restaurant poor hygiene practice feel comfortable eating
The food was stale and tasted old.,Negative,food stale tasted old,"['food', 'stale', 'tasted', 'old']","[('food', 'n'), ('stale', 'n'), ('tasted', 'v'), ('old', 'a')]",  food stale taste old
The restaurant had a rude and unprofessional staff.,Negative,restaurant rude unprofessional staff,"['restaurant', 'rude', 'unprofessional', 'staff']","[('restaurant', 'n'), ('rude', 'v'), ('unprofessional', 'a'), ('staff', 'n')]",  restaurant rude unprofessional staff
The food was not properly packaged and spilled during delivery.,Negative,food properly packaged spilled delivery,"['food', 'properly', 'packaged', 'spilled', 'delivery']","[('food', 'n'), ('properly', 'r'), ('packaged', 'v'), ('spilled', 'v'), ('delivery', 'n')]",  food properly package spill delivery
The restaurant had a limited menu selection.,Negative,restaurant limited menu selection,"['restaurant', 'limited', 'menu', 'selection']","[('restaurant', 'n'), ('limited', 'v'), ('menu', None), ('selection', 'n')]",  restaurant limit menu selection
The food was too greasy and heavy.,Negative,food greasy heavy,"['food', 'greasy', 'heavy']","[('food', 'n'), ('greasy', 'n'), ('heavy', 'a')]",  food greasy heavy
The restaurant was unresponsive to our complaints about our order.,Negative,restaurant unresponsive complaints order,"['restaurant', 'unresponsive', 'complaints', 'order']","[('restaurant', 'n'), ('unresponsive', 'a'), ('complaints', 'n'), ('order', 'n')]",  restaurant unresponsive complaint order
The food had a strange odor and was not fresh.,Negative,food strange odor fresh,"['food', 'strange', 'odor', 'fresh']","[('food', 'n'), ('strange', 'a'), ('odor', 'n'), ('fresh', 'n')]",  food strange odor fresh
The restaurant had poor customer service and did not resolve our issue.,Negative,restaurant poor customer service resolve issue,"['restaurant', 'poor', 'customer', 'service', 'resolve', 'issue']","[('restaurant', 'n'), ('poor', 'a'), ('customer', 'n'), ('service', 'n'), ('resolve', 'v'), ('issue', 'n')]",  restaurant poor customer service resolve issue
The food was too expensive for the poor quality.,Negative,food expensive poor quality,"['food', 'expensive', 'poor', 'quality']","[('food', 'n'), ('expensive', 'a'), ('poor', 'a'), ('quality', 'n')]",  food expensive poor quality
The restaurant did not honor our special requests for our order.,Negative,restaurant honor special requests order,"['restaurant', 'honor', 'special', 'requests', 'order']","[('restaurant', 'n'), ('honor', 'n'), ('special', 'a'), ('requests', 'n'), ('order', 'n')]",  restaurant honor special request order
The food was not what we ordered and was a completely different dish.,Negative,food ordered completely different dish,"['food', 'ordered', 'completely', 'different', 'dish']","[('food', 'n'), ('ordered', 'v'), ('completely', 'r'), ('different', 'a'), ('dish', 'n')]",  food order completely different dish
The restaurant had incorrect information about their menu items.,Negative,restaurant incorrect information menu items,"['restaurant', 'incorrect', 'information', 'menu', 'items']","[('restaurant', 'n'), ('incorrect', 'a'), ('information', 'n'), ('menu', 'n'), ('items', 'n')]",  restaurant incorrect information menu item
The food was not properly cooked and we were concerned about food poisoning.,Negative,food properly cooked concerned food poisoning,"['food', 'properly', 'cooked', 'concerned', 'food', 'poisoning']","[('food', 'n'), ('properly', 'r'), ('cooked', 'v'), ('concerned', 'a'), ('food', 'n'), ('poisoning', 'n')]",  food properly cook concerned food poisoning
The restaurant had a dirty and unsanitary dining area.,Negative,restaurant dirty unsanitary dining area,"['restaurant', 'dirty', 'unsanitary', 'dining', 'area']","[('restaurant', 'n'), ('dirty', 'n'), ('unsanitary', 'a'), ('dining', 'n'), ('area', 'n')]",  restaurant dirty unsanitary dining area
The food was too sweet and not balanced in flavor.,Negative,food sweet balanced flavor,"['food', 'sweet', 'balanced', 'flavor']","[('food', 'n'), ('sweet', 'n'), ('balanced', 'v'), ('flavor', 'n')]",  food sweet balance flavor
The restaurant had a long wait time for seating and service.,Negative,restaurant long wait time seating service,"['restaurant', 'long', 'wait', 'time', 'seating', 'service']","[('restaurant', 'n'), ('long', 'a'), ('wait', 'n'), ('time', 'n'), ('seating', 'v'), ('service', 'n')]",  restaurant long wait time seat service
The food was not worth the price we paid.,Negative,food worth price paid,"['food', 'worth', 'price', 'paid']","[('food', 'n'), ('worth', 'a'), ('price', 'n'), ('paid', 'v')]",  food worth price pay
The restaurant had no vegetarian or vegan options.,Negative,restaurant vegetarian vegan options,"['restaurant', 'vegetarian', 'vegan', 'options']","[('restaurant', 'n'), ('vegetarian', 'a'), ('vegan', 'n'), ('options', 'n')]",  restaurant vegetarian vegan option
The food was too cold and not enjoyable to eat.,Negative,food cold enjoyable eat,"['food', 'cold', 'enjoyable', 'eat']","[('food', 'n'), ('cold', 'n'), ('enjoyable', 'a'), ('eat', 'n')]",  food cold enjoyable eat
The restaurant had poor food presentation and looked unappetizing.,Negative,restaurant poor food presentation looked unappetizing,"['restaurant', 'poor', 'food', 'presentation', 'looked', 'unappetizing']","[('restaurant', 'n'), ('poor', 'a'), ('food', 'n'), ('presentation', 'n'), ('looked', 'v'), ('unappetizing', 'a')]",  restaurant poor food presentation look unappetizing
The food was too dry and lacked moisture.,Negative,food dry lacked moisture,"['food', 'dry', 'lacked', 'moisture']","[('food', 'n'), ('dry', 'n'), ('lacked', 'v'), ('moisture', 'n')]",  food dry lack moisture
The restaurant had untrained staff who did not know how to handle customer complaints.,Negative,restaurant untrained staff know handle customer complaints,"['restaurant', 'untrained', 'staff', 'know', 'handle', 'customer', 'complaints']","[('restaurant', 'n'), ('untrained', 'a'), ('staff', 'n'), ('know', 'v'), ('handle', 'n'), ('customer', 'n'), ('complaints', 'n')]",  restaurant untrained staff know handle customer complaint
The food was too salty and we could not finish it.,Negative,food salty could finish,"['food', 'salty', 'could', 'finish']","[('food', 'n'), ('salty', 'n'), ('could', None), ('finish', 'v')]",  food salty could finish
The restaurant did not have the ingredients to make the dish we wanted to order.,Negative,restaurant ingredients make dish wanted order,"['restaurant', 'ingredients', 'make', 'dish', 'wanted', 'order']","[('restaurant', 'n'), ('ingredients', 'n'), ('make', 'v'), ('dish', 'a'), ('wanted', 'v'), ('order', 'n')]",  restaurant ingredient make dish want order
The food had a strange texture and was not enjoyable to eat.,Negative,food strange texture enjoyable eat,"['food', 'strange', 'texture', 'enjoyable', 'eat']","[('food', 'n'), ('strange', 'a'), ('texture', 'n'), ('enjoyable', 'a'), ('eat', 'n')]",  food strange texture enjoyable eat
The restaurant had limited seating and was overcrowded.,Negative,restaurant limited seating overcrowded,"['restaurant', 'limited', 'seating', 'overcrowded']","[('restaurant', 'n'), ('limited', 'v'), ('seating', 'n'), ('overcrowded', 'v')]",  restaurant limit seating overcrowd
The food was too sour and not enjoyable to eat.,Negative,food sour enjoyable eat,"['food', 'sour', 'enjoyable', 'eat']","[('food', 'n'), ('sour', 'n'), ('enjoyable', 'a'), ('eat', 'n')]",  food sour enjoyable eat
The restaurant had a confusing and complicated menu.,Negative,restaurant confusing complicated menu,"['restaurant', 'confusing', 'complicated', 'menu']","[('restaurant', 'n'), ('confusing', 'v'), ('complicated', 'v'), ('menu', 'n')]",  restaurant confuse complicate menu
The food was not properly seasoned and lacked taste.,Negative,food properly seasoned lacked taste,"['food', 'properly', 'seasoned', 'lacked', 'taste']","[('food', 'n'), ('properly', 'r'), ('seasoned', 'v'), ('lacked', 'a'), ('taste', 'n')]",  food properly season lacked taste
The restaurant had no parking available for customers.,Negative,restaurant parking available customers,"['restaurant', 'parking', 'available', 'customers']","[('restaurant', 'n'), ('parking', 'v'), ('available', 'a'), ('customers', 'n')]",  restaurant park available customer
The food was not properly labeled and we had to guess what we were eating.,Negative,food properly labeled guess eating,"['food', 'properly', 'labeled', 'guess', 'eating']","[('food', 'n'), ('properly', 'r'), ('labeled', 'v'), ('guess', 'n'), ('eating', 'n')]",  food properly label guess eating
The restaurant had a dirty and unorganized kitchen.,Negative,restaurant dirty unorganized kitchen,"['restaurant', 'dirty', 'unorganized', 'kitchen']","[('restaurant', 'n'), ('dirty', 'n'), ('unorganized', 'v'), ('kitchen', 'n')]",  restaurant dirty unorganized kitchen
The food had a strange aftertaste and was not enjoyable to eat.,Negative,food strange aftertaste enjoyable eat,"['food', 'strange', 'aftertaste', 'enjoyable', 'eat']","[('food', 'n'), ('strange', 'a'), ('aftertaste', 'n'), ('enjoyable', 'a'), ('eat', 'n')]",  food strange aftertaste enjoyable eat
The restaurant had no allergy information available for their menu items.,Negative,restaurant allergy information available menu items,"['restaurant', 'allergy', 'information', 'available', 'menu', 'items']","[('restaurant', 'n'), ('allergy', 'n'), ('information', 'n'), ('available', 'a'), ('menu', 'n'), ('items', 'n')]",  restaurant allergy information available menu item
The food was not properly cooked and was still raw in the middle.,Negative,food properly cooked still raw middle,"['food', 'properly', 'cooked', 'still', 'raw', 'middle']","[('food', 'n'), ('properly', 'r'), ('cooked', 'v'), ('still', 'r'), ('raw', 'a'), ('middle', 'n')]",  food properly cook still raw middle
The restaurant had a noisy and distracting atmosphere.,Negative,restaurant noisy distracting atmosphere,"['restaurant', 'noisy', 'distracting', 'atmosphere']","[('restaurant', 'n'), ('noisy', 'n'), ('distracting', 'v'), ('atmosphere', 'r')]",  restaurant noisy distract atmosphere
The food was too chewy and tough to eat.,Negative,food chewy tough eat,"['food', 'chewy', 'tough', 'eat']","[('food', 'n'), ('chewy', 'n'), ('tough', 'a'), ('eat', 'n')]",  food chewy tough eat
